_id,mmsi,shipCallSigns,shipName,shipSize,shipType,shipWidth
64bf82b5031fca34f80f025d,413262360,BONB3,XIN JIA YUAN 217,99,"Cargo ship, General",16
64bf871e031fca34f80f67b3,413797887,0,GANGHUADIAO58,83,"Vessel, Towing and exceeding",28
64bf8ca7031fca34f80fd9f1,477182100,VRLG9,EASTERN DAPHNE,190,"Cargo ship, General",32
64bf8ff6031fca34f8101ffc,352001360,3E2120,GREAT WENHUI,235,"Cargo ship, General",43
64bf9586031fca34f8108d2b,477792600,VRJT3,BULK HARVEST,292,"Cargo ship, General",45
64bf96f0031fca34f810aa58,413443350,BKWY5,JIU XU 128,189,"Cargo ship, General",32
64bf9f54031fca34f8116bf6,413349870,BOZY9,EN HUI DA JIAN,136,"Cargo ship, General",42
64bf9f7c031fca34f8116fa6,636017847,D5MZ3,EVER ABILITY,295,"Cargo ship, General",46
64bfa04c031fca34f81184e8,563159700,9V6516,WAN HAI 295,175,"Cargo ship, General",29
64bfa04e031fca34f811853d,413225460,BOFM5,KANG SHUN KUA YUE,140,"Cargo ship, General",22
64bfa09f031fca34f8118d23,636020781,5LAR6,MSC LANGSAR,260,"Cargo ship, General",32
64bfa1f4031fca34f811b07b,477274700,VRJS2,OOCL NEW YORK,277,"Cargo ship, Category Y",40
64bfa26c031fca34f811bcfb,636015961,D5DS7,EUROSTAR,180,"Other types of ship, No additional information",30
64bfa2c4031fca34f811c581,563165500,9V7379,WAN HAI 351,204,"Cargo ship, General",35
64bfa2d1031fca34f811c6db,355113000,H9MM,KMARIN AZUR,250,"Cargo ship, General",38
64bfa3a6031fca34f811dc19,413384000,BOHN2,BO HAI HENG SHENG,186,"Passenger ship, General",28
64bfa3fc031fca34f811e54d,415666270,@@@@@@@,AX-SXGD-YJ345-SY-A,2,"Vessel, Pleasure craft",2
64bfa45d031fca34f811efd2,371450000,3FDY5,MSC CARINA,253,"Cargo ship, General",43
64bfa512031fca34f8120327,355565000,H8RD,MONA KH,226,"Cargo ship, General",30
64bfa5d6031fca34f81216b8,994131726,,SXSPFD S27,2,,2
64bfa708031fca34f8123519,565130000,S6EN9,WAN HAI 231,191,"Cargo ship, General",28
64bfa814031fca34f81251bf,636016858,D5BU7,MSC CRISTINA,366,"Cargo ship, Category X",48
64bfa819031fca34f8125246,370109000,3FQZ7,PADIAN 3,162,"Cargo ship, General",26
64bfa820031fca34f812530a,431929000,7KDF,ONE MINATO,365,"Cargo ship, Category OS",51
